,second,Volt,Volt.1
358,-0.06420000000000001,-0.7638190873,0.0361809041
359,-0.0641,-0.743718585,0.0361809041
360,-0.064,-0.743718585,0.0402010046
361,-0.0639,-0.743718585,0.0361809041
362,-0.06380000000000001,-0.743718585,0.0402010046
363,-0.0637,-0.7236180827,0.0402010046
364,-0.0636,-0.7236180827,0.0402010046
365,-0.0635,-0.7236180827,0.0402010046
366,-0.0634,-0.7236180827,0.0361809041
367,-0.0633,-0.7236180827,0.0402010046
368,-0.0632,-0.7035175804,0.0402010046
369,-0.0631,-0.7035175804,0.0402010046
370,-0.063,-0.7035175804,0.0402010046
371,-0.0629,-0.7035175804,0.0402010046
372,-0.0628,-0.7035175804,0.0402010046
373,-0.0627,-0.7035175804,0.0402010046
374,-0.0626,-0.6834170781,0.0402010046
375,-0.0625,-0.6834170781,0.0402010046
376,-0.0624,-0.6834170781,0.0402010046
377,-0.062299999999999994,-0.6834170781,0.0442211051
378,-0.06219999999999999,-0.6633165758,0.0442211051
379,-0.0621,-0.6633165758,0.0482412055
380,-0.062,-0.6633165758,0.0442211051
381,-0.061900000000000004,-0.6633165758,0.0442211051
382,-0.0618,-0.6633165758,0.0442211051
383,-0.0617,-0.6432160735,0.0442211051
384,-0.06160000000000001,-0.6432160735,0.0442211051
385,-0.061500000000000006,-0.6432160735,0.0442211051
386,-0.0614,-0.6432160735,0.0482412055
387,-0.0613,-0.6432160735,0.0482412055
388,-0.0612,-0.6432160735,0.0442211051
389,-0.061099999999999995,-0.6231155712,0.0442211051
390,-0.061,-0.6231155712,0.0482412055
391,-0.0609,-0.6231155712,0.0482412055
392,-0.0608,-0.6030150689,0.0482412055
393,-0.0607,-0.6030150689,0.0482412055
394,-0.0606,-0.6030150689,0.0482412055
395,-0.0605,-0.5829145666,0.0482412055
396,-0.060399999999999995,-0.5829145666,0.0482412055
397,-0.0603,-0.6030150689,0.0482412055
398,-0.0602,-0.5628140643,0.052261306
399,-0.0601,-0.5628140643,0.052261306
400,-0.060000000000000005,-0.5628140643,0.052261306
401,-0.0599,-0.5628140643,0.0482412055
402,-0.0598,-0.5628140643,0.0482412055
403,-0.0597,-0.5628140643,0.0482412055
404,-0.0596,-0.542713562,0.0482412055
405,-0.059500000000000004,-0.542713562,0.052261306
406,-0.0594,-0.542713562,0.0482412055
407,-0.0593,-0.542713562,0.052261306
408,-0.0592,-0.5226130597,0.052261306
409,-0.0591,-0.5226130597,0.052261306
410,-0.059,-0.5025125574,0.0562814064
411,-0.0589,-0.5226130597,0.0562814064
412,-0.0588,-0.5025125574,0.052261306
413,-0.058699999999999995,-0.5025125574,0.052261306
414,-0.0586,-0.5025125574,0.052261306
415,-0.058499999999999996,-0.4824120551,0.0562814064
416,-0.0584,-0.4824120551,0.052261306
417,-0.0583,-0.4824120551,0.0562814064
418,-0.0582,-0.4824120551,0.052261306
419,-0.058100000000000006,-0.4824120551,0.052261306
420,-0.058,-0.4623115528,0.0562814064
421,-0.0579,-0.4623115528,0.0562814064
422,-0.057800000000000004,-0.4422110505,0.0562814064
423,-0.0577,-0.4422110505,0.0562814064
424,-0.0576,-0.4623115528,0.0562814064
425,-0.0575,-0.4422110505,0.0603015069
426,-0.0574,-0.4422110505,0.0603015069
427,-0.0573,-0.4422110505,0.0562814064
428,-0.0572,-0.4221105482,0.0562814064
429,-0.0571,-0.4221105482,0.0603015069
430,-0.057,-0.4221105482,0.0562814064
431,-0.0569,-0.4020100459,0.0603015069
432,-0.056799999999999996,-0.4020100459,0.0562814064
433,-0.0567,-0.4020100459,0.0562814064
434,-0.0566,-0.4020100459,0.0562814064
435,-0.056499999999999995,-0.3819095436,0.0603015069
436,-0.0564,-0.3819095436,0.0562814064
437,-0.0563,-0.3618090414,0.0562814064
438,-0.0562,-0.3618090414,0.0603015069
439,-0.056100000000000004,-0.3819095436,0.0603015069
440,-0.056,-0.3618090413,0.0603015069
441,-0.0559,-0.3618090414,0.0603015069
442,-0.0558,-0.3417085391,0.0603015069
443,-0.0557,-0.3417085391,0.0603015069
444,-0.055600000000000004,-0.3216080368,0.0603015069
445,-0.0555,-0.3216080368,0.0603015069
446,-0.0554,-0.3216080368,0.0603015069
447,-0.0553,-0.3216080368,0.0643216074
448,-0.0552,-0.3015075345,0.0643216074
449,-0.055099999999999996,-0.3015075345,0.0603015069
450,-0.055,-0.2814070322,0.0643216074
451,-0.0549,-0.2814070322,0.0643216074
452,-0.054799999999999995,-0.2814070322,0.0643216074
453,-0.0547,-0.2814070322,0.0603015069
454,-0.054599999999999996,-0.2613065299,0.0643216074
455,-0.05450000000000001,-0.2814070322,0.0643216074
456,-0.054400000000000004,-0.2613065299,0.0643216074
457,-0.0543,-0.2412060276,0.0643216074
458,-0.054200000000000005,-0.2613065299,0.0643216074
459,-0.0541,-0.2412060276,0.0643216074
460,-0.054,-0.2412060276,0.0643216074
461,-0.0539,-0.2211055253,0.0643216074
462,-0.0538,-0.2412060276,0.0603015069
463,-0.0537,-0.201005023,0.0643216074
464,-0.0536,-0.2211055253,0.0643216074
465,-0.0535,-0.2211055253,0.0643216074
466,-0.053399999999999996,-0.201005023,0.0643216074
467,-0.0533,-0.201005023,0.0643216074
468,-0.0532,-0.201005023,0.0643216074
469,-0.0531,-0.1809045207,0.0603015069
470,-0.053,-0.1809045207,0.0643216074
471,-0.052899999999999996,-0.1608040184,0.0643216074
472,-0.0528,-0.1608040184,0.0643216074
473,-0.0527,-0.1608040184,0.0643216074
474,-0.0526,-0.1608040184,0.0643216074
475,-0.052500000000000005,-0.1407035161,0.0643216074
476,-0.0524,-0.1407035161,0.0603015069
